Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,y_labels
1,301.3991031962842,310.3103803821575,1383,51.034429426763744,228,2,Overstrain Failure
1,299.17661605626665,309.3403036624002,1392,54.710455493600264,217,2,Overstrain Failure
1,300.7,311.83303809343295,1335,57.97050478537147,190,2,Overstrain Failure
1,300.3442254547449,310.57923006063265,1376,52.23173696946428,229,2,Overstrain Failure
1,299.24623027830205,309.10005520099594,1350,58.45382492269387,199,2,Overstrain Failure
1,298.7278858485691,309.4910859340222,1424,51.30331338235332,225,2,Overstrain Failure
1,300.9525359298179,310.7606135975185,1361,59.62827183695219,203,2,Overstrain Failure
1,297.7011873895223,307.93853896583204,1365,53.23616418678737,217,2,Overstrain Failure
1,296.90583975571315,308.20877974892744,1288,61.91768019000089,198,2,Overstrain Failure
1,299.9022460802524,309.8340820267508,1338,55.92197265774974,205,2,Overstrain Failure
1,299.4926783974741,309.3926783974741,1343,60.407321602525904,193,2,Overstrain Failure
1,300.41312154829313,311.721270710241,1271,60.289088508333,199,2,Overstrain Failure
1,301.11698093573006,310.91273570179754,1364,58.625189081753426,206,2,Overstrain Failure
1,299.21279911015506,308.96969949946225,1303,63.595297719772404,203,2,Overstrain Failure
1,298.3219592733686,308.5431695817805,1309,61.01590773130894,189,2,Overstrain Failure
1,299.0888030626061,309.9215009570644,1355,55.0010133989015,210,2,Overstrain Failure
1,301.17497565996916,311.5886223496792,1267,65.7000649067489,209,2,Overstrain Failure
1,301.1190991065845,311.0396997021948,1399,57.75187686128237,190,2,Overstrain Failure
1,299.8100655468604,310.4202428746725,1366,57.19845028378258,202,2,Overstrain Failure
1,299.2316324953053,309.0102050281684,1388,54.2153075422526,217,2,Overstrain Failure
1,299.59507721498113,310.4081925631085,1279,64.33277025243395,212,2,Overstrain Failure
1,301.06463130777854,310.037847732264,1383,51.443228401604024,226,2,Overstrain Failure
1,299.0500473060071,310.40577468915467,1371,53.76150207230221,227,2,Overstrain Failure
1,299.88825231013146,309.4504298915037,1380,54.58452711934595,206,2,Overstrain Failure
1,301.40066291555416,310.5861066234912,1349,60.442721853968536,207,2,Overstrain Failure
1,299.95709921953096,310.72374043092407,1403,50.85003818291039,220,2,Overstrain Failure
1,299.0406437021134,309.43576836087533,1280,63.42194696480274,191,2,Overstrain Failure
1,301.8144266397435,311.6834155398504,1446,51.28822441976486,216,2,Overstrain Failure
1,301.44513878837876,311.8502859536248,1370,58.16115219136642,210,2,Overstrain Failure
1,298.45252573700907,308.48131434252264,1416,51.63269990058546,220,2,Overstrain Failure
1,299.47634483697567,309.9587531087064,1337,57.511613804370825,204,2,Overstrain Failure
1,302.03061359352824,311.22040906235213,1267,65.44796570205317,182,2,Overstrain Failure
1,300.2035016129785,311.33575229539247,1370,59.002004466709664,212,2,Overstrain Failure
1,298.1329510059724,308.96625492950875,1373,56.36696076463661,202,2,Overstrain Failure
1,297.27997348720874,308.07997348720875,1380,56.51998863737518,202,2,Overstrain Failure
1,300.44233267270226,311.54600396378646,1271,62.71361183428698,202,2,Overstrain Failure
1,298.95695657125475,308.99716931298116,1340,59.20660493637728,205,2,Overstrain Failure
1,301.6271655520549,311.11547530210737,1387,50.27132042708114,228,2,Overstrain Failure
1,298.4568293920052,308.21377818635676,1411,52.32152560282424,217,2,Overstrain Failure
1,303.2130263309053,312.5304210647242,1366,58.452131616232954,206,2,Overstrain Failure
1,298.39790580559395,308.5988033174823,1382,55.52131635076951,203,2,Overstrain Failure
1,300.9805088339424,310.7034833136644,1270,57.651976442820235,196,2,Overstrain Failure
1,300.1351870568604,309.683917536854,1403,54.93470396630494,214,2,Overstrain Failure
1,299.11991943559264,308.8834785717885,1411,52.57330647853087,223,2,Overstrain Failure
1,300.7,311.84321590394484,1335,57.83819324871724,191,2,Overstrain Failure
1,300.20766489250667,310.2286501442097,1361,60.03138877820117,206,2,Overstrain Failure
1,298.48281098787754,308.5590811806811,1308,61.724703156436185,193,2,Overstrain Failure
1,298.8649939730295,310.10298674066496,1370,53.67849457572658,226,2,Overstrain Failure
1,301.37547979162815,311.06823022573616,1338,56.88017046883667,197,2,Overstrain Failure
1,299.27876348455,310.2042786993208,1435,48.96386652750411,228,2,Overstrain Failure
1,298.18829801343776,308.46796255758454,1365,53.42144065259693,217,2,Overstrain Failure
1,300.6532229125787,310.1437441727507,1347,60.595260630085974,207,2,Overstrain Failure
1,301.1258109640844,310.42902373450727,1269,57.264504095774974,195,2,Overstrain Failure
1,297.2507909187537,307.2153992694282,1377,54.70768058445747,216,2,Overstrain Failure
1,298.9780541918877,310.36558566215984,1485,50.98665777634772,216,2,Overstrain Failure
1,300.59226909665625,309.78545293184726,1272,57.61782237719724,195,2,Overstrain Failure
1,301.4284030623353,311.41434885162425,1270,63.120786675153234,187,2,Overstrain Failure
1,298.375408856058,309.1044475486958,1357,54.92295571970985,213,2,Overstrain Failure
1,298.9494725025926,309.1890505046667,1279,60.287895623055554,211,2,Overstrain Failure
1,300.49652587710057,309.692480148657,1381,52.663588444008276,216,2,Overstrain Failure
1,300.70340934796707,310.9203121465453,1269,64.77939997094073,204,2,Overstrain Failure
1,299.3463260094608,310.0615815023652,1365,57.12108669820263,203,2,Overstrain Failure
1,299.00297379208416,310.0615549414245,1336,56.39290574670173,202,2,Overstrain Failure
1,299.9462224206494,310.71544461806826,1275,65.56177847227295,210,2,Overstrain Failure
1,299.9427981618423,308.99607172464124,1415,51.702618850239176,227,2,Overstrain Failure
1,302.0918464402695,311.2612309601796,1263,65.74392446130237,182,2,Overstrain Failure
1,301.99777840569345,311.41180575177924,1230,66.76972371352188,183,2,Overstrain Failure
1,300.1678351026021,310.72290380985123,1439,49.77884884405193,224,2,Overstrain Failure
1,298.1216085658132,308.4658298624725,1404,56.11155740668134,217,2,Overstrain Failure
1,300.999047398289,310.99898389150826,1398,58.000508054245856,190,2,Overstrain Failure
1,300.59889390810145,310.7044243675942,1301,62.6185854413528,198,2,Overstrain Failure
1,301.5398836899351,310.65391082895025,1379,51.83807366304111,215,2,Overstrain Failure
1,300.76616523877067,310.9860977943745,1365,58.40820907762816,201,2,Overstrain Failure
1,299.02665397279924,309.9266539727992,1371,55.8599238367953,201,2,Overstrain Failure
1,301.84495679660427,311.1951663952151,1453,48.32101120802627,243,2,Overstrain Failure
1,299.8081344896952,310.7257156221975,1478,50.79582535809782,218,2,Overstrain Failure
1,298.5909562223565,308.6035798591703,1348,59.01620349598409,202,2,Overstrain Failure
1,298.0177249985235,308.27089999409395,1349,57.9314750723491,202,2,Overstrain Failure
1,302.3484010575247,312.20696528648415,1478,46.5412933918948,249,2,Overstrain Failure
1,297.5907799192424,308.74015517272005,1288,61.96234381336941,205,2,Overstrain Failure
1,302.0501643064874,311.42817634577733,1230,66.89414022790749,183,2,Overstrain Failure
1,299.48481959044926,308.7848195904493,1383,53.69240979522462,216,2,Overstrain Failure
1,298.0,308.2265156229705,1364,53.934109295850725,217,2,Overstrain Failure
1,300.34242541080744,311.0571456111889,1395,51.06839543089627,220,2,Overstrain Failure
1,301.0797081737546,311.2,1270,66.64976134515986,197,2,Overstrain Failure
1,298.197865124691,308.3429025900546,1348,58.7450374653636,201,2,Overstrain Failure
1,298.951728113042,310.2938018486924,1370,53.75655530173781,227,2,Overstrain Failure
1,300.400920069635,311.79826209068943,1271,59.19754648097333,197,2,Overstrain Failure
1,300.8198544445485,310.76020013874574,1269,63.22194680416328,202,2,Overstrain Failure
1,303.3739093068804,312.65912744550434,1366,58.84897629030505,205,2,Overstrain Failure
1,297.7133160216135,308.03720635314573,1363,56.656658010806744,215,2,Overstrain Failure
1,298.7236004926493,308.69452527711525,1306,62.34172626241385,196,2,Overstrain Failure
1,301.58128863941823,310.55794752010576,1339,56.68510784179823,203,2,Overstrain Failure
1,299.90426593182747,309.8312169939493,1392,58.58439150302536,193,2,Overstrain Failure
1,298.4158822618146,308.346249806356,1409,52.74904376453156,217,2,Overstrain Failure
1,301.2603164782952,310.6163060948554,1339,57.67720361254218,203,2,Overstrain Failure
1,298.78132231696554,309.66450095673207,1373,55.868213602334215,201,2,Overstrain Failure
1,302.9369467396854,312.30955739174834,1367,57.77113529122408,206,2,Overstrain Failure
1,298.920471440376,309.3446245410903,1287,62.27658323135339,191,2,Overstrain Failure
1,298.14508250313156,308.6348364796926,1354,54.031149100019036,206,2,Overstrain Failure
1,302.63949379264386,312.16470471237557,1449,52.04453597659023,213,2,Overstrain Failure
1,300.2530847126598,311.0565955285191,1488,47.9792555893511,237,2,Overstrain Failure
1,298.01586107108346,308.64713748198756,1295,63.003085383643864,196,2,Overstrain Failure
1,297.2636432694915,308.1694290212635,1339,60.9991409078581,206,2,Overstrain Failure
1,302.3059375748547,311.6805540759448,1444,51.992528429505825,216,2,Overstrain Failure
1,297.5717317139699,308.36847290453386,1339,61.07283061924062,206,2,Overstrain Failure
1,300.9687472558437,311.13646153484905,1237,64.12914288397882,178,2,Overstrain Failure
1,299.6535002010089,310.2430419849308,1404,51.1156873241172,220,2,Overstrain Failure
1,300.67953367954465,310.4810157856759,1366,56.42611157959843,211,2,Overstrain Failure
1,299.5767746994518,309.1246086924264,1296,64.39843476970556,212,2,Overstrain Failure
1,301.01438039406383,310.63950370010167,1269,57.56165228249648,195,2,Overstrain Failure
1,299.86257413050214,309.0583937359647,1383,52.91240939605297,220,2,Overstrain Failure
1,301.3064400214601,310.8373252046582,1268,59.62354073279256,214,2,Overstrain Failure
1,300.7062034034901,309.57792632644316,1416,51.70620340349009,232,2,Overstrain Failure
1,301.0920892749728,311.3752366187794,1337,57.5177991313111,193,2,Overstrain Failure
1,300.8488573285827,310.95215837934376,1270,58.00304712377937,196,2,Overstrain Failure
1,300.8301178720392,310.8674090708598,1399,57.962708801179325,190,2,Overstrain Failure
1,298.0,308.2734708005574,1362,55.76536122173742,216,2,Overstrain Failure
1,298.1081346116899,308.7558749973316,1339,60.74502884841172,205,2,Overstrain Failure
1,303.1700985907322,312.22056539161485,1357,57.052334004413225,194,2,Overstrain Failure
1,301.8196849194238,311.8585301881695,1399,51.36115473125436,216,2,Overstrain Failure
1,300.1188472411872,310.1600183227356,1361,59.77301015618098,206,2,Overstrain Failure
1,299.4343569075112,309.6310939739859,1358,57.78176554912341,206,2,Overstrain Failure
1,298.9161983911928,308.34067458864376,1382,53.80746032908499,217,2,Overstrain Failure
1,300.20927449594143,310.27336491373546,1339,59.4609989191469,203,2,Overstrain Failure
1,298.10540038437,308.54178485192,1400,56.33967052678199,203,2,Overstrain Failure
1,298.3798369393266,309.1596738786532,1354,53.620163060673384,209,2,Overstrain Failure
1,298.09526489295166,308.68351584315616,1373,56.34708491700743,203,2,Overstrain Failure
1,298.16418942352675,308.3923263050414,1309,61.02557898319517,189,2,Overstrain Failure
1,300.72032913324574,311.65605040105106,1335,57.50658266491486,195,2,Overstrain Failure
1,301.76008428992805,311.04005619328535,1275,64.22037930467626,182,2,Overstrain Failure
1,298.29295223717054,309.3085803824714,1287,61.928907036325214,211,2,Overstrain Failure
1,301.6923857485273,311.34428931139547,1366,57.445609215519106,207,2,Overstrain Failure
1,303.0642241067659,312.4113792854127,1366,58.08508613002248,206,2,Overstrain Failure
1,298.0113033178414,308.482629739543,1383,56.627543246514314,202,2,Overstrain Failure
1,300.5272847517331,310.44492403002346,1352,57.0620568418034,209,2,Overstrain Failure
1,303.04332213464494,312.0629068678143,1359,60.626505847013036,198,2,Overstrain Failure
1,300.6845923927119,310.26870108798875,1381,57.615407607288056,202,2,Overstrain Failure
1,297.373485419586,308.2304412905328,1399,56.73412490304716,205,2,Overstrain Failure
1,298.65384977744975,309.694513777028,1354,53.27362844425701,212,2,Overstrain Failure
1,298.04681764891893,308.38727059567566,1350,56.50593520297294,204,2,Overstrain Failure
1,302.40800887761554,311.9577094941916,1447,52.3547156599524,213,2,Overstrain Failure
1,298.8602624935198,309.88360676408314,1336,56.63691822295647,202,2,Overstrain Failure
1,296.27389252567895,306.68965595996906,1370,54.84187090861123,215,2,Overstrain Failure
1,299.2656022599486,310.00537013717224,1432,49.119375787043694,229,2,Overstrain Failure
1,299.2279124196068,309.0325254823593,1389,54.248788223538874,217,2,Overstrain Failure
1,298.0932802429248,308.5731209716991,1353,54.22926809668663,206,2,Overstrain Failure
1,299.48865234823734,310.8633371356884,1276,59.90882595137093,198,2,Overstrain Failure
1,299.9430023492319,309.3576204466312,1433,51.173484135756624,229,2,Overstrain Failure
1,302.49748494650663,311.21503653940243,1401,53.53482373540348,209,2,Overstrain Failure
1,302.7522792982777,312.16182343862215,1367,57.31562226908492,207,2,Overstrain Failure
1,300.1767292784897,310.6372479403306,1366,57.66239214829304,202,2,Overstrain Failure
1,302.18148572986587,311.80869814579086,1361,56.63494410107238,196,2,Overstrain Failure
1,299.68344621010436,310.0024329255281,1341,59.53972909574953,191,2,Overstrain Failure
1,300.2456682026798,309.9130090070425,1428,52.21156053624183,215,2,Overstrain Failure
1,296.07162646863384,306.69646876915454,1371,55.35031539895858,216,2,Overstrain Failure
1,303.8447812403827,312.97760937980865,1364,60.48215612497505,203,2,Overstrain Failure
1,299.6237745881272,309.2295098352509,1298,64.91790040773144,211,2,Overstrain Failure
1,299.21982373696403,309.0810575782159,1389,54.3215863673238,217,2,Overstrain Failure
1,298.91259764583634,309.81023558724206,1287,61.89527588281136,215,2,Overstrain Failure
1,302.37739059361684,312.0118111796098,1448,51.804274710815434,214,2,Overstrain Failure
1,298.0228130088905,308.36203135904793,1307,61.126562136506756,190,2,Overstrain Failure
1,301.5040149177719,310.86934327851463,1282,63.0680671299736,182,2,Overstrain Failure
1,301.1918047164831,310.2487685148358,1269,58.24711191703881,196,2,Overstrain Failure
1,301.6172524269824,311.62998632837594,1269,60.12546780278699,214,2,Overstrain Failure
1,299.49924911649816,309.2281423522847,1380,54.82904341248687,205,2,Overstrain Failure
1,303.6013359311683,312.84106874493466,1365,59.40996196354849,205,2,Overstrain Failure
1,300.40511886591855,309.2482466541374,1416,51.534502230575065,230,2,Overstrain Failure
1,300.7,311.84260495770064,1335,57.84613554989124,191,2,Overstrain Failure
1,301.513922666106,310.64835359966355,1351,59.36227626576953,207,2,Overstrain Failure
1,300.31391131712974,310.65649439471105,1371,55.89907747229239,203,2,Overstrain Failure
1,299.7861973758923,310.4907150818337,1373,53.19523278777514,224,2,Overstrain Failure
1,298.37416793918703,308.9085866298103,1374,56.8225759889431,203,2,Overstrain Failure
1,300.5904323243389,309.72769085794346,1342,56.740938408858796,203,2,Overstrain Failure
1,302.6930165439941,312.390159675628,1476,46.316506350559415,250,2,Overstrain Failure
1,298.4455386845354,309.34851289484516,1337,56.08382903505163,205,2,Overstrain Failure
1,300.66188344360734,309.84345879633713,1381,52.53417817456817,216,2,Overstrain Failure
1,298.73315699509584,309.75120520322486,1336,56.515108786966834,202,2,Overstrain Failure
1,300.76204765648595,311.2,1270,67.11566343715397,203,2,Overstrain Failure
1,298.00548793371456,308.71915438723,1372,56.666794789813636,203,2,Overstrain Failure
1,298.2638386579753,308.8417203987729,1374,56.80251611963188,203,2,Overstrain Failure
1,301.74668963382317,311.2488965446077,1399,56.44439659620176,195,2,Overstrain Failure
1,300.1658880696116,309.30553842709094,1383,52.54169235936364,222,2,Overstrain Failure
1,301.60472832939143,310.93648555292765,1279,63.52127748226154,182,2,Overstrain Failure
1,299.95821514868817,309.645155024914,1426,52.224626584150535,216,2,Overstrain Failure
1,299.3353924006265,310.08052320083533,1402,53.232461331941124,219,2,Overstrain Failure
1,300.47887362676914,311.32675823938524,1270,65.74651102183722,205,2,Overstrain Failure
1,302.0046776924556,311.8540495909291,1365,58.524859509114904,204,2,Overstrain Failure
1,298.6256241261393,308.9215308567627,1299,63.50613990406494,195,2,Overstrain Failure
1,299.08125999897385,309.5024468284674,1399,57.57881317050645,195,2,Overstrain Failure
1,300.20722717388134,310.7563101606433,1297,61.26181224007147,200,2,Overstrain Failure
1,301.1556363584475,311.51446154285213,1393,50.235048950649805,225,2,Overstrain Failure
1,297.0607139089834,307.94610355362136,1399,56.97581197942188,203,2,Overstrain Failure
1,298.3269168098487,309.0538336196973,1354,53.67308319015135,208,2,Overstrain Failure
1,301.2859002179042,310.99592956557944,1361,59.2851027168633,202,2,Overstrain Failure
1,299.0400470690394,309.9120141207118,1373,55.73203765523154,201,2,Overstrain Failure
1,300.50691237713113,311.1959518933269,1487,47.80506013334139,238,2,Overstrain Failure
1,300.73345209741433,311.4320269284424,1337,58.63416468190031,193,2,Overstrain Failure
1,302.5885186035505,311.5867522348659,1227,68.09931698498083,187,2,Overstrain Failure
1,303.7571149813183,312.7380766542122,1359,57.88518464504754,195,2,Overstrain Failure
1,298.23030984624444,308.33582375547746,1347,58.61693319913903,202,2,Overstrain Failure
1,300.7478851094495,310.9422978110102,1323,61.02657897485826,193,2,Overstrain Failure
1,300.70360463398214,311.89694992509203,1398,50.20027727953709,222,2,Overstrain Failure
1,298.31204187591186,308.63970680058355,1387,57.659560200875376,198,2,Overstrain Failure
1,302.2949901605579,312.2334791833515,1262,62.71335957184564,210,2,Overstrain Failure
1,299.6065563530247,309.297160436212,1349,59.387764519399276,203,2,Overstrain Failure
1,301.5838544925669,311.54891512066405,1445,51.07686661818633,217,2,Overstrain Failure
1,298.7484544468671,309.8717543384208,1368,54.55463665939883,224,2,Overstrain Failure
1,298.2019721564574,308.4868412322614,1382,55.64447464451252,203,2,Overstrain Failure
1,298.0,308.24598510809005,1363,54.69341921551168,217,2,Overstrain Failure
1,300.30082092939995,309.6120120746538,1311,64.4744346140076,191,2,Overstrain Failure
1,301.5373126377085,311.7799000734446,1464,51.41582439408241,217,2,Overstrain Failure
1,301.39609773660584,311.71593506047003,1266,65.11040603571773,209,2,Overstrain Failure
1,297.5710361512968,308.26522203242075,1300,61.449259891930836,193,2,Overstrain Failure
1,299.5207799497786,309.8652813366814,1375,55.17922005022137,203,2,Overstrain Failure
1,297.3178738589694,308.6322592439408,1286,61.5972092208016,198,2,Overstrain Failure
1,301.54058906050057,311.3722791023123,1270,63.54849579315842,186,2,Overstrain Failure
1,300.9081358298293,310.371390161761,1379,56.73044214494154,204,2,Overstrain Failure
1,299.3269152108967,308.95730166168744,1376,53.239620366432106,215,2,Overstrain Failure
1,300.7,311.8894383076372,1335,57.23730200071659,193,2,Overstrain Failure
1,299.14240113184974,309.8197214566743,1398,55.37633425199086,216,2,Overstrain Failure
1,299.22745984379793,309.308689044673,1354,55.15631239737479,203,2,Overstrain Failure
1,296.7451841113878,307.10203609746435,1368,54.31166787468873,216,2,Overstrain Failure
1,298.0,308.2161046214961,1364,53.528080238346654,217,2,Overstrain Failure
1,300.7678978473726,311.0852258315293,1337,58.457956947451066,200,2,Overstrain Failure
1,299.41493006142787,309.92003996489836,1430,49.407365118467986,229,2,Overstrain Failure
1,298.0855174824769,308.48325174816483,1361,56.37241258761543,215,2,Overstrain Failure
1,300.7409366919725,310.1373113687615,1379,55.69380749022947,205,2,Overstrain Failure
1,300.54369057221277,310.71750201646773,1375,56.7777437605523,209,2,Overstrain Failure
1,299.5846182845856,309.1345184755248,1344,57.54043161994476,202,2,Overstrain Failure
1,298.7035788370626,309.25942568690357,1400,55.68830630031812,217,2,Overstrain Failure
1,301.7026665857744,311.0017777238496,1277,63.96199963598499,182,2,Overstrain Failure
1,300.6731897037455,311.751741466742,1336,58.44110912092353,189,2,Overstrain Failure
1,301.7991663878512,311.0661109252341,1275,64.39624874533044,182,2,Overstrain Failure
1,301.44838027783703,310.72645070371163,1380,50.943556342523465,230,2,Overstrain Failure
1,298.35184287279714,308.7797857356325,1402,55.944114274329344,217,2,Overstrain Failure
1,300.1752497669859,310.2036020926709,1361,59.9370902312317,206,2,Overstrain Failure
1,300.9756454182199,310.67239321777674,1399,54.35312813866795,213,2,Overstrain Failure
1,298.28385214426737,309.4942835942205,1371,54.17913710009374,225,2,Overstrain Failure
1,298.05626957768624,308.3767312422994,1404,56.15907667077365,217,2,Overstrain Failure
1,298.8315672462508,309.2295803982829,1402,54.35982307922174,217,2,Overstrain Failure
1,299.91946914070087,310.66415947277636,1403,50.88296450188673,220,2,Overstrain Failure
1,300.37741546878516,311.000400068388,1295,61.34596919920556,203,2,Overstrain Failure
1,297.7558126948747,307.5566301992397,1378,54.434695840608285,216,2,Overstrain Failure
1,298.1039854642799,308.2928441645356,1347,58.81114129974427,202,2,Overstrain Failure
1,300.9854977887199,311.11691924649347,1236,64.27431416890579,177,2,Overstrain Failure
1,299.98906290183294,309.88731084959574,1377,57.11619325487871,203,2,Overstrain Failure
1,298.56690351986674,308.7340912635737,1283,61.10056844768028,216,2,Overstrain Failure
1,303.82182860709446,312.9890856964528,1364,60.18377189222814,204,2,Overstrain Failure
1,299.9794839151058,309.7615300674149,1298,64.12565874656852,209,2,Overstrain Failure
1,297.7903791304472,308.59733137125085,1373,56.63047759196367,202,2,Overstrain Failure
1,298.1217635600502,308.6464663868509,1343,57.704127959547804,203,2,Overstrain Failure
1,299.00252060799477,309.08161318911664,1389,58.322419783674995,196,2,Overstrain Failure
1,302.89581095646037,312.27664876516826,1367,57.669667025935524,206,2,Overstrain Failure
1,298.2121803825669,308.6667968416471,1366,53.090962344310185,220,2,Overstrain Failure
1,296.9976410430075,307.8443822922762,1400,57.02011187390293,203,2,Overstrain Failure
1,299.01337282631874,310.3933135868406,1369,53.47236575519047,228,2,Overstrain Failure
1,300.75121242792295,310.1516973990921,1379,55.75751705312218,205,2,Overstrain Failure
1,298.3142890351984,308.1077940191991,1412,52.294803987200595,218,2,Overstrain Failure
1,301.3474992065581,310.46945579729214,1380,51.99760931660673,216,2,Overstrain Failure
1,300.07302796023174,309.6292111840927,1383,56.16407138293408,201,2,Overstrain Failure
1,303.2977601801019,311.75244659539624,1400,53.05706408552453,208,2,Overstrain Failure
1,299.2319710023654,308.99536788598004,1310,62.70672127314279,190,2,Overstrain Failure
1,298.8190988530444,309.39213180405926,1403,54.379780326567925,219,2,Overstrain Failure
1,301.71426068983914,310.72856517245975,1380,51.37152241310331,220,2,Overstrain Failure
1,296.9667360188438,308.16669440753753,1289,62.1722938861386,199,2,Overstrain Failure
1,302.2360599392727,312.462395604125,1368,59.997746253795455,208,2,Overstrain Failure
1,300.9791142698756,311.2208857301244,1279,61.16898851757706,189,2,Overstrain Failure
1,298.560461050158,309.133314094658,1287,62.22962535436843,192,2,Overstrain Failure
1,298.01289418004234,308.4482522752271,1387,57.37237841284065,199,2,Overstrain Failure
1,301.36528724200343,311.1217930152598,1362,60.17825288662818,205,2,Overstrain Failure
1,298.5094958202423,309.4189916404846,1354,53.49050417975771,210,2,Overstrain Failure
1,301.49027619241,310.634165715446,1351,59.32444190785596,207,2,Overstrain Failure
1,299.1625500473073,310.45787061420793,1493,48.72766173224007,230,2,Overstrain Failure
1,301.35556851564604,310.6234661501888,1354,57.86789763454278,195,2,Overstrain Failure
1,298.7172635253579,309.77797975578744,1369,53.54553717282213,225,2,Overstrain Failure
1,300.1469281010204,309.82353812659863,1377,54.553071898979574,205,2,Overstrain Failure
1,302.33135488543667,311.516048401699,1228,67.56196785291206,185,2,Overstrain Failure
1,302.75115088868324,311.8413810664199,1261,57.90287467539925,205,2,Overstrain Failure
1,301.9976936583459,311.6096493935811,1363,60.10597786761761,205,2,Overstrain Failure
1,300.6281465811473,309.97940521360624,1379,54.994508803113284,206,2,Overstrain Failure
1,300.6086724468599,310.84862825135866,1367,56.25285398603563,205,2,Overstrain Failure
1,300.0403865840679,309.9184161115563,1377,57.12552483346689,203,2,Overstrain Failure
1,298.3749974886347,308.8562456051107,1360,51.650008371217666,224,2,Overstrain Failure
1,299.6524615627251,310.45840386738445,1279,64.53361546953778,212,2,Overstrain Failure
1,299.2140629490878,309.41761390853804,1375,56.97528417256142,203,2,Overstrain Failure
1,298.31308597517375,308.1327149379344,1412,52.24274885861484,218,2,Overstrain Failure
1,300.5520459396075,311.0026231516479,1425,50.76222424271285,235,2,Overstrain Failure
1,298.7885228370522,309.7986864909805,1372,58.469670553346944,213,2,Overstrain Failure
1,301.99907038317815,311.2760473232803,1439,51.908837377230405,218,2,Overstrain Failure
1,298.4315281939992,308.49470218126777,1348,58.9578761685363,202,2,Overstrain Failure
1,297.8568799651938,308.95556949563314,1287,61.94967238260982,207,2,Overstrain Failure
1,302.43996959729066,311.5599724927868,1356,57.40001447748063,194,2,Overstrain Failure
1,301.38191815209973,310.67342706469833,1282,61.55125282178611,185,2,Overstrain Failure
1,301.8885864599926,311.9672461119961,1468,49.87021957603252,227,2,Overstrain Failure
1,299.8112665056735,309.98591469854193,1339,59.70422602431067,204,2,Overstrain Failure
1,301.9734076968428,310.90808923621137,1265,57.31178984960053,199,2,Overstrain Failure
1,300.90096598144913,311.6655396883093,1335,56.86553968830934,195,2,Overstrain Failure
1,297.98629176134443,308.95777283055753,1337,57.582984400917354,206,2,Overstrain Failure
1,300.5953662494054,310.5683906660324,1396,58.21580466698379,191,2,Overstrain Failure
1,297.35873229288364,308.15873229288366,1378,56.55374241123586,202,2,Overstrain Failure
1,300.13637499719715,310.7621284704315,1447,48.08029514083533,235,2,Overstrain Failure
1,299.05773130644917,309.95773130644915,1369,56.046387838695104,202,2,Overstrain Failure
1,297.80612820082297,308.3576173543526,1396,57.692468438999654,199,2,Overstrain Failure
1,299.02892547238565,309.0216941042892,1303,61.414462736192824,187,2,Overstrain Failure
1,298.93024298768796,310.25351027414473,1370,54.00927103693603,227,2,Overstrain Failure
1,300.9105687151146,310.6490114925195,1442,52.32113743022924,217,2,Overstrain Failure
1,301.56208975829514,310.73151228291954,1414,52.56208975829512,237,2,Overstrain Failure
1,299.3102514531019,310.1333293056453,1289,61.746155705086785,212,2,Overstrain Failure
1,299.6084357223891,309.83518430030045,1342,60.073731892336646,190,2,Overstrain Failure
1,299.73380456892136,309.33677523948813,1298,64.8646384672759,212,2,Overstrain Failure
1,300.16540402148996,311.3208543566141,1335,56.87725167562081,196,2,Overstrain Failure
1,300.62284707768043,310.5977035495258,1396,58.2011482252371,191,2,Overstrain Failure
1,300.5586922206899,310.05150290503997,1400,54.792209522334055,205,2,Overstrain Failure
1,299.37154620153706,310.21260292634497,1281,63.55041170537985,213,2,Overstrain Failure
1,298.47576553443804,309.07852541998955,1417,52.99939549559861,222,2,Overstrain Failure
1,301.93242334999104,310.9408552999968,1351,59.95498924998154,207,2,Overstrain Failure
1,299.0922854145299,308.99559166544566,1381,55.08484916800977,204,2,Overstrain Failure
1,300.4672882564399,309.2821572307854,1416,51.51189517947642,230,2,Overstrain Failure
1,301.0472311536383,310.0236698288905,1383,51.4644952566643,226,2,Overstrain Failure
1,301.4858364093228,310.85722427288187,1282,62.98626384195271,182,2,Overstrain Failure
1,297.98436824425175,309.81102570272645,1499,49.53621787159196,224,2,Overstrain Failure
1,302.4711726005728,311.8983638825733,1446,52.037592527428956,214,2,Overstrain Failure
1,300.70827467479853,309.8858160074247,1381,52.497871993635954,216,2,Overstrain Failure
1,298.3078860487708,308.7556876615174,1342,61.0739008063733,207,2,Overstrain Failure
1,297.50507884417505,308.51385062592885,1288,62.09196680576196,196,2,Overstrain Failure
1,300.2371502536166,310.9668704565099,1338,59.10970294445451,189,2,Overstrain Failure
1,298.00081065168575,308.3024319550572,1361,56.77649110111367,215,2,Overstrain Failure
1,300.9420750915816,310.9382134310204,1398,58.0308932844898,190,2,Overstrain Failure
1,302.50758484130614,312.12303393652246,1451,52.20262141797005,212,2,Overstrain Failure
1,298.93043346828506,309.82825856949887,1354,49.79855510571643,233,2,Overstrain Failure
1,300.78889395979985,311.6733272482402,1373,58.53218013366133,212,2,Overstrain Failure
1,302.08043776622645,312.0598481853792,1479,46.72518976827594,247,2,Overstrain Failure
